horizon_ms,baseline_auc_pr,baseline_auc_roc
100,0.04828350399248647,0.9342306099188634
200,0.06171962772476484,0.9225376110831498
500,0.07111435773494497,0.9073127933566636
1000,0.06886200101897363,0.8828899948387627
